Ano Agricola.Ano Agricola;Area Plantada (mil ha);Producao (mil t)
1995/96;13.758,00;32.403,00
1996/97;13.799,00;35.716,00
1997/98;11.391,00;30.189,00
1998/99;12.514,00;32.395,00
1999/00;12.756,00;31.640,00
2000/01;12.973,00;42.288,00
2001/02;12.297,00;35.266,00
2002/03;13.226,00;47.411,00
2003/04;12.783,00;42.125,00
2004/05;12.210,00;35.007,00
2005/06;12.965,00;42.514,00
2006/07;14.055,00;51.370,00
2007/08;14.768,00;58.648,00
2008/09;14.169,00;51.004,00
2009/10;12.997,00;56.021,00
2010/11;13.806,00;57.408,00
2011/12;15.180,00;72.977,00
2012/13;15.829,00;81.505,00
2013/14;15.826,00;80.051,00
2014/15;15.693,00;84.670,00
2015/16;15.754,00;69.142,00
2016/17;17.591,00;97.842,00
2017/18;16.636,00;81.360,00
2018/19;17.493,00;100.043,00
2019/20;18.527,00;102.501,00
2020/21;19.867,00;87.020,00
2021/22;21.581,90;113.272,30
2022/23;21.975,40;125.535,90
